Experience_Years,Education_Years,Hours_Per_Week,Certifications,Salary_LPA
15.0,14.0,42.0,2.0,89.71
4.0,19.0,47.0,2.0,85.98
22.0,13.0,55.0,2.0,125.1
3.0,10.0,32.0,,65.53
19.0,11.0,49.0,,109.52
23.0,10.0,40.0,4.0,107.3
7.0,13.0,49.0,0.0,78.72
14.0,12.0,46.0,0.0,86.94
23.0,10.0,53.0,2.0,116.07
8.0,15.0,39.0,2.0,76.35
14.0,18.0,59.0,2.0,115.89
10.0,13.0,46.0,0.0,84.32
8.0,19.0,36.0,1.0,80.13
7.0,,57.0,5.0,100.61
6.0,14.0,53.0,3.0,94.87
4.0,19.0,,,71.51
16.0,15.0,51.0,2.0,95.65
,11.0,59.0,3.0,99.59
12.0,17.0,53.0,1.0,105.37
0.0,16.0,50.0,1.0,80.67
11.0,16.0,34.0,6.0,103.42
23.0,13.0,47.0,2.0,109.11
6.0,19.0,51.0,4.0,101.63
19.0,19.0,58.0,0.0,116.24
12.0,19.0,54.0,3.0,117.15
5.0,18.0,34.0,1.0,66.56
24.0,18.0,48.0,1.0,118.88
24.0,16.0,36.0,1.0,110.26
23.0,14.0,50.0,1.0,114.73
,17.0,39.0,0.0,102.18
16.0,14.0,54.0,3.0,110.55
0.0,18.0,56.0,2.0,79.96
2.0,10.0,35.0,0.0,51.56
24.0,10.0,34.0,0.0,80.47
9.0,19.0,46.0,0.0,83.07
,13.0,55.0,1.0,105.31
6.0,15.0,45.0,1.0,84.3
4.0,15.0,53.0,2.0,
14.0,17.0,41.0,2.0,96.32
9.0,11.0,35.0,1.0,63.1
,18.0,,1.0,112.2
3.0,18.0,55.0,1.0,91.51
3.0,10.0,39.0,0.0,67.93
8.0,17.0,33.0,0.0,87.9
19.0,10.0,44.0,1.0,94.94
16.0,16.0,56.0,1.0,114.78
1.0,11.0,37.0,2.0,
0.0,19.0,40.0,2.0,65.25
16.0,18.0,44.0,4.0,107.06
22.0,18.0,59.0,0.0,119.0
12.0,11.0,37.0,1.0,79.12
7.0,15.0,35.0,3.0,75.9
23.0,19.0,35.0,0.0,115.81
10.0,11.0,30.0,2.0,74.53
9.0,11.0,54.0,1.0,87.89
3.0,19.0,30.0,3.0,76.96
0.0,16.0,56.0,2.0,85.84
7.0,13.0,40.0,0.0,70.72
